골	표면지	골심지1	중심지	골심지2	이면지	표면원지가	골심1원지가	중심원지가	골심2원지가	이면원지가	원재료비	원재료비+10%Loss	가공비	단   가	비   고	원지종류	평량 (g/㎡)	톤당금액	원지단가
AB	백180	S120	S120	KT160	KT160	133.2	82.32	58.8	128	80	482.32	530.552	23	553.552					
AB	백180	S120	S120	S120	B150	133.2	82.32	58.8	94.08	75	443.4	487.74	23	510.74					
AB	백180	S120	S120	B150	K180	133.2	82.32	58.8	120	86.4	480.72	528.792	23	551.792					
AB	백180	S120	S120	K180	K180	133.2	82.32	58.8	138.24	86.4	498.96	548.856	23	571.856					
AB	백180	CK180	K180	CK180	K180	133.2	141.12	86.4	161.28	86.4	608.4	669.24	23	692.24					
AB	황180	K180	S120	K180	K180	104.4	120.96	58.8	138.24	86.4	508.8	559.68	23	582.68					
BB	백180	K180	K180	S120	s120	133.2	120.96	86.4	82.32	58.8	481.68	529.848	23	552.848					
BB	SK180	S120	S120	S120	k180	104.4	82.32	58.8	82.32	86.4	414.24	455.664	23	478.664					
BB	SK180	CK180	K180	CK180	K180	104.4	141.12	86.4	141.12	86.4	559.44	615.384	23	638.384					
BB	SK180	K180	S120	K180	K180	104.4	120.96	58.8	120.96	86.4	491.52	540.672	23	563.672					
BB	SK180	S120	K180	S120	K180	104.4	82.32	86.4	82.32	86.4	441.84	486.024	23	509.024					
BB	SK180	K180	K180	K180	K180	104.4	120.96	86.4	120.96	86.4	519.12	571.032	23	594.032					
BB	KLB175	CK180	K180	CK180	K180	119	141.12	86.4	141.12	86.4	574.04	631.444	23	654.444					
BB	KLB175	S120	S120	S120	K180	119	82.32	58.8	82.32	86.4	428.84	471.724	23	494.724					
BB	KLB175	S120	S120	K180	K180	119	82.32	58.8	120.96	86.4	467.48	514.228	23	537.228					
BB	K180	K250	K180	K180	홍220	86.4	168	86.4	120.96	140.8	602.56	662.816	23	685.816					
BB	KLB175	S120	K180	S120	K180	119	82.32	86.4	82.32	86.4	456.44	502.084	23	525.084					
BB	KLB175	CK180	k180	CK180	KLB175	119	141.12	86.4	141.12	119	606.64	667.304	23	690.304					
BB	백180	K180	S120	K180	S120	133.2	120.96	58.8	120.96	58.8	492.72	541.992	23	564.992					
BB	백180	ck180	k180	ck180	K180	133.2	141.12	86.4	141.12	86.4	588.24	647.064	23	670.064					
BB	백180	S120	S120	B150	K180	133.2	82.32	58.8	105	86.4	465.72	512.292	23	535.292					
BB	백180	K180	S120	S120	S120	133.2	120.96	58.8	82.32	58.8	454.08	499.488	23	522.488					
BB	백180	S120	K180	S120	K180	133.2	82.32	86.4	82.32	86.4	470.64	517.704	23	540.704					
BB	백180	KT160	S120	KT160	황180	133.2	112	58.8	112	104.4	520.4	572.44	23	595.44					
EB	SC220	S120	S120	K180	K180	195.8	82.32	58.8	120.96	86.4	544.28	598.708	23	621.708					
EB	S120	S120	S120	CK180	황180	58.8	82.32	58.8	141.12	104.4	445.44	489.984	23	512.984					
EB	KT160	KT160	KT160	CK180	SK180	80	112	80	141.12	104.4	517.52	569.272	23	592.272					
EB	황180	s120	S120	S120	K180	104.4	82.32	58.8	82.32	86.4	414.24	455.664	23	478.664					
EB	K180	K180	K180	K180	K180	86.4	120.96	86.4	120.96	86.4	501.12	551.232	23	574.232					
EB	SK180	k180	k180	k180	K180	104.4	120.96	86.4	120.96	86.4	519.12	571.032	23	594.032					
EB	S120	K180	S120	CK180	KLB225	58.8	120.96	58.8	141.12	153	532.68	585.948	23	608.948					
EB	KLB175	S120	S120	K180	K180	119	82.32	58.8	120.96	86.4	467.48	514.228	23	537.228					
EB	KLB175	S120	S120	B150	K180	119	82.32	58.8	105	86.4	451.52	496.672	23	519.672					
EB	KLB175	S120	S120	S120	K180	119	82.32	58.8	82.32	86.4	428.84	471.724	23	494.724					
EB	KLB175	S120	K180	S120	K180	119	82.32	86.4	82.32	86.4	456.44	502.084	23	525.084					
EB	KLB175	S120	S120	K180	K180	119	82.32	58.8	120.96	86.4	467.48	514.228	23	537.228					
EB	백180	S120	S120	k180	K180	133.2	82.32	58.8	120.96	86.4	481.68	529.848	23	552.848					
EB	백180	S120	S120	S120	B150	133.2	82.32	58.8	82.32	75	431.64	474.804	23	497.804					
EB	백180	S120	S120	B150	K180	133.2	82.32	58.8	105	86.4	465.72	512.292	23	535.292					
EB	백180	S120	S120	S120	K180	133.2	82.32	58.8	82.32	86.4	443.04	487.344	23	510.344					
EB	백180	s120	S120	K180	S120	133.2	82.32	58.8	120.96	58.8	454.08	499.488	23	522.488					
EB	백180	K180	K180	CK180	K180	133.2	120.96	86.4	141.12	86.4	568.08	624.888	23	647.888					
EF	백180	S120				133.2	82.32				215.52	237.072	30	267.072					
EF	SK180	S120				104.4	82.32				186.72	205.392	20	225.392	25.05.01 215원				
EF	KLB175	S120				119	82.32				201.32	221.452	20	241.452					
EF	K180	S120				86.4	82.32				168.72	185.592	20	205.592	25.05.01 197원				
EF	백180	K180				133.2	120.96				254.16	279.576	20	299.576					
EF	SK180	K180				104.4	120.96				225.36	247.896	20	267.896					
EF	KLB175	K180				119	120.96				239.96	263.956	20	283.956					
EF	K180	K180				86.4	120.96				207.36	228.096	20	248.096					
BF	백180	S120				133.2	82.32				215.52	237.072	50	287.072					
BF	SK180	S120				104.4	82.32				186.72	205.392	40	245.392					
BF	K180	S120				86.4	82.32				168.72	185.592	40	225.592					
BF	백180	K180				133.2	120.96				254.16	279.576	40	319.576					
BF	SK180	K180				104.4	120.96				225.36	247.896	40	287.896					
BF	KLB175	K180				119	120.96				239.96	263.956	40	303.956					
BF	황180	K180				104.4	120.96				225.36	247.896	40	287.896					
BF	K180	K180				86.4	120.96				207.36	228.096	40	268.096					
